timelapse req_no cpureq memreq exectime extracpu extramem
1000 1 7 11 3 0 1
2000 2 4 7 4 0 0
3000 3 1 12 7 0 0
4000 4 5 17 5 0 3
5000 5 8 18 7 0 2
6000 6 2 17 6 0 0
7000 7 3 4 9 0 0
8000 8 6 3 1 0 0
9000 9 8 1 9 0 0
10000 10 3 2 3 0 0
11000 11 1 14 1 0 1
12000 12 3 16 1 0 2
13000 13 8 10 10 0 0
14000 14 7 20 7 0 0
15000 15 8 14 8 0 0
16000 16 4 9 10 0 0
17000 17 7 2 2 0 0
18000 18 4 6 5 0 0
19000 19 2 6 4 0 0
20000 20 5 18 10 0 1
21000 21 7 20 1 0 0
22000 22 2 9 8 0 0
23000 23 2 18 7 0 1
24000 24 3 9 8 0 1
25000 25 8 19 5 0 0
26000 26 2 6 2 0 0
27000 27 8 16 9 0 1
28000 28 5 2 2 0 0
29000 29 4 6 6 0 0
30000 30 4 6 9 0 0
31000 31 7 1 6 0 0
32000 32 1 12 8 0 1
33000 33 2 9 1 0 0
34000 34 6 5 9 0 0
35000 35 6 13 7 0 2
36000 36 7 17 5 0 2
37000 37 5 13 5 0 1
38000 38 1 13 8 0 0
39000 39 1 13 8 0 1
40000 40 7 10 1 0 1
41000 41 7 16 5 0 3
42000 42 3 15 7 0 0
43000 43 2 12 4 0 0
44000 44 5 20 1 0 0
45000 45 2 16 1 0 1
46000 46 5 15 8 0 2
47000 47 5 9 4 0 0
48000 48 6 10 6 0 0
49000 49 7 19 8 0 1
50000 50 8 16 4 0 3
